Sort,Year,ID,Freq,Sex,CalvingGround,BirthDate,CaptureDate,LastActive ,EstAgeatCapture,MinDaysAlive,Day0Status,Day0Lat,Day0Long,Day1Status,Day1Lat,Day1Long,Day2Status,Day2Lat,Day2Long,Day3Status,Day3Lat,Day3Long,Day4Status,Day4Lat,Day4Long,Day5Status,Day5Lat,Day5Long,Day6Status,Day6Lat,Day6Long,Day7Status,Day7Lat,Day7Long,FATE
119,2012,2012130,2.48,f,Kemuk,5/20/12,5/20/12,10/12/12,0,145,1,59.96051,-157.4435,,,,,,,,,,,,,,,,,,,,,,
124,2012,2012135,2.39,f,Kemuk,5/21/12,5/21/12,7/19/12,0,59,1,59.55197,-157.46262,,,,1,59.58303,-157.4847,,,,,,,,,,,,,,,,
125,2012,2012136,2.43,f,Kemuk,5/21/12,5/21/12,10/20/12,0,152,1,59.54404,-157.46016,1,59.55917,-157.48397,1,59.57848,-157.48133,,,,,,,,,,,,,,,,
127,2012,2012138,2.22,m,Kemuk,5/21/12,5/21/12,6/8/12,0,18,1,59.55162,-157.45468,1,59.58118,-157.52917,,,,,,,,,,,,,,,,,,,
131,2012,2012142,2.55,m,Kemuk,5/21/12,5/21/12,10/12/12,0,144,1,59.85769,-157.34016,,,,,,,1,59.83025,-157.35304,,,,,,,,,,,,,
132,2012,2012143,2.8,unk,Kemuk,5/21/12,5/21/12,5/28/12,0,7,1,59.93721,-157.18098,1,59.90391,-157.17926,1,59.91158,-157.20221,1,59.88181,-157.22931,,,,,,,,,,,,,
134,2012,2012145,2.05,m,Kemuk,5/21/12,5/21/12,7/19/12,0,59,1,59.89322,-157.13072,,,,,,,1,59.93856,-157.08656,,,,,,,,,,,,,
135,2012,2012146,2.34,unk,Kemuk,5/21/12,5/21/12,10/12/12,0,144,1,59.89244,-157.11147,1,59.90811,-157.15068,,,,,,,,,,,,,,,,,,,
136,2012,2012147,2.21,m,Kemuk,5/21/12,5/21/12,10/20/12,0,152,1,59.88829,-157.17705,,,,1,59.88825,-157.15363,,,,,,,,,,,,,,,,
147,2012,2012206,1.84,unk,Tundra,5/17/12,5/17/12,7/6/12,0,50,1,61.35777,-155.9592,,,,,,,,,,1,61.36819,-155.98171,,,,,,,,,,
149,2012,2012208,1.88,f,Tundra,5/17/12,5/17/12,5/17/12,0,0,1,61.34362,-155.95495,0,61.34574,-155.9592,,,,,,,,,,,,,,,,,,,DROWNED
150,2012,2012209,1.58,f,Tundra,5/17/12,5/17/12,7/6/12,0,50,1,61.25852,-155.76762,,,,,,,,,,,,,,,,,,,,,,
151,2012,2012210,3.93,f,Tundra,5/17/12,5/17/12,10/5/12,0,141,1,61.18127,-155.7405,,,,,,,,,,,,,,,,,,,,,,
152,2012,2012211,3.55,f,Tundra,5/17/12,5/17/12,5/21/12,0,4,1,61.19932,-155.72027,1,,,1,,,1,,,0,61.19133,-155.70098,,,,,,,,,,PREDATOR
153,2012,2012212,3.13,m,Tundra,5/17/12,5/17/12,10/11/12,0,147,1,61.19958,-155.74955,1,61.19613,-155.76533,,,,,,,,,,,,,,,,,,,
154,2012,2012213,3.541,m,Tundra,5/17/12,5/17/12,7/6/12,0,50,1,61.2109,-155.76,1,61.21259,-155.75725,,,,,,,,,,,,,,,,,,,
155,2012,2012214,3.15,m,Tundra,5/17/12,5/17/12,6/14/12,0,28,1,61.16037,-155.75853,1,61.14257,-155.82146,,,,,,,,,,,,,,,,,,,
156,2012,2012215,3.33,f,Tundra,5/17/12,5/17/12,5/20/12,0,3,1,61.16373,-155.75363,1,61.17815,-155.73814,1,,,1,,,0,61.17695,-155.7463,,,,,,,,,,BEAR
159,2012,2012218,1.86,f,Tundra,5/17/12,5/17/12,7/6/12,0,50,1,61.11977,-155.71722,1,61.0997,-155.77148,,,,,,,,,,,,,,,,,,,
160,2012,2012219,3.21,m,Tundra,5/18/12,5/18/12,7/6/12,0,49,1,61.14267,-155.71108,,,,,,,,,,,,,,,,,,,,,,
163,2012,2012222,3,m,Tundra,5/18/12,5/18/12,5/18/12,0,0,1,61.16222,-155.74573,1,61.18267,-155.76154,0,,,,,,,,,,,,,,,,,,DROWNED
164,2012,2012223,1.91,f,Tundra,5/18/12,5/18/12,7/6/12,0,49,1,61.16222,-155.74573,,,,,,,,,,,,,,,,,,,,,,
166,2012,2012225,3.09,f,Tundra,5/18/12,5/18/12,5/18/12,0,0,1,61.40337,-155.88842,1,61.39733,-155.89,0,,,,,,,,,,,,,,,,,,EAGLE
169,2012,2012228,3.07,m,Tundra,5/18/12,5/18/12,5/20/12,0,2,1,61.20272,-155.75277,,,,0,61.21868,-155.724,,,,,,,,,,,,,,,,DROWNED
173,2012,2012232,1.06,m,Tundra,5/18/12,5/18/12,5/23/12,0,5,1,61.27087,-155.7696,,61.26796,-155.76881,,,,,,,,,,,,,,,,,,,
176,2012,2012235,3.29,f,Tundra,5/18/12,5/18/12,5/18/12,0,0,1,61.20192,-156.00948,1,61.19292,-155.89715,0,,,,,,,,,,,,,,,,,,BEAR
178,2012,2012237,3.87,m,Tundra,5/19/12,5/19/12,5/30/12,0,11,1,61.18127,-155.7405,,,,1,61.01626,-155.41142,,,,,,,,,,,,,,,,
190,2012,2012249,3.09,f,Tundra,5/19/12,5/19/12,7/6/12,0,48,1,61.12765,-155.86282,1,61.16163,-155.84039,,,,,,,,,,,,,,,,,,,
192,2012,2012251,3.9,f,Tundra,5/20/12,5/20/12,5/21/12,0,1,1,61.32683,-156.14117,1,,,0,,,,,,,,,,,,,,,,,,BEAR
195,2012,2012254,1.78,f,Tundra,5/21/12,5/21/12,5/23/12,0,2,1,61.2098,-156.21687,1,,,1,,,0,61.18767,-156.183,,,,,,,,,,,,,BEAR
199,2012,2012258,3.25,f,Tundra,5/22/12,5/22/12,5/27/12,0,5,1,61.142,-155.77967,,61.1057,-155.8132,,,,,,,,,,,,,,,,,,,
200,2012,2012259,1.88,f,Tundra,5/22/12,5/22/12,10/11/12,0,142,1,61.16333,-155.78867,1,61.14891,-155.77422,,,,,,,,,,,,,,,,,,,
203,2012,2012262,3.55,m,Tundra,5/23/12,5/23/12,5/28/12,0,5,1,61.06933,-155.76867,,61.06771,-155.7697,,,,,,,,61.06516,-155.7575,,,,,,,,,,
212,2013,2013105,2.982,m,Kemuk,5/18/13,5/18/13,5/18/13,0,0,1,59.8702,-156.88939,0,59.87159,-156.88115,,,,,,,,,,,,,,,,,,,DROWNED
214,2013,2013107,0.523,f,Kemuk,5/19/13,5/19/13,4/3/14,0,319,1,59.89682,-157.56137,1,59.93437,-157.60518,,,,,,,,,,,,,,,,,,,
217,2013,2013110,2.67,f,Kemuk,5/19/13,5/19/13,7/12/13,0,54,1,59.88842,-157.50621,,,,,,,,,,1,59.92279,-157.49352,,,,,,,,,,
225,2013,2013118,3.332,f,Kemuk,5/19/13,5/19/13,4/3/14,0,319,1,59.70891,-157.40254,1,59.71014,-157.42863,,,,,,,,,,,,,,,,,,,
230,2013,2013123,3.23,f,Kemuk,5/20/13,5/20/13,12/16/13,0,210,1,59.89882,-157.4982,1,59.9176,-157.49833,,,,,,,,,,,,,,,,,,,
231,2013,2013124,0.332,f,Kemuk,5/20/13,5/20/13,5/15/14,0,360,1,59.91518,-157.51117,,,,1,59.93069,-157.58476,,,,,,,,,,,,,,,,
235,2013,2013128,3.39,f,Kemuk,5/20/13,5/20/13,5/21/13,0,1,1,60.02642,-157.58148,0,60.03128,-157.59007,,,,,,,,,,,,,,,,,,,ABANDONED; CAPTURE RELATED?
271,2013,2013214,3.501,m,Tundra,5/17/13,5/17/13,5/19/13,0,2,1,61.17855,-155.73884,1,61.17857,-155.73886,0,61.17745,-155.72258,,,,,,,,,,,,,,,,BEAR
277,2013,2013220,2.043,f,Tundra,5/17/13,5/17/13,5/28/13,0,11,1,61.29282,-155.75342,1,61.29286,-155.74251,,,,,,,,,,,,,,,,,,,
280,2013,2013223,3.79,f,Tundra,5/17/13,5/17/13,5/17/13,0,0,1,61.33465,-155.90987,1,61.33617,-155.87159,0,,,,,,,,,,,,,,,,,,WOLF
284,2013,2013227,1.955,m,Tundra,5/18/13,5/18/13,7/12/13,0,55,1,61.18138,-155.76373,1,61.18211,-155.76172,,,,,,,,,,,,,,,,,,,
286,2013,2013229,1.842,m,Tundra,5/18/13,5/18/13,5/28/13,0,10,1,61.15984,-155.72087,1,61.15331,-155.74579,,,,,,,1,61.11687,-155.69886,,,,,,,,,,
300,2013,2013243,1.782,f,Tundra,5/19/13,5/19/13,5/23/13,0,4,1,61.27357,-155.93778,1,61.27802,-155.95984,,,,,,,0,61.2749,-155.9238,,,,,,,,,,BEAR
303,2013,2013246,1.573,m,Tundra,5/20/13,5/20/13,5/29/13,0,9,1,61.2269,-156.07408,1,61.22171,-156.12786,,,,,,,,,,,,,,,,,,,
304,2013,2013247,3.61,m,Tundra,5/20/13,5/20/13,5/28/13,0,8,1,61.22967,-156.07832,1,61.26334,-156.07806,,,,,,,,,,,,,,,,,,,
305,2013,2013248,1.561,m,Tundra,5/20/13,5/20/13,10/22/13,0,155,1,61.31206,-156.0914,1,61.30462,-156.03352,,,,,,,1,61.3458,-156.07443,,,,,,,,,,
308,2013,2013251,3.79,f,Tundra,5/20/13,5/20/13,5/20/13,0,0,1,61.13029,-155.77487,1,61.1236,-155.7194,0,,,,,,,,,,,,,,,,,,BEAR
315,2013,2013258,3.56,m,Tundra,5/23/13,5/23/13,5/24/13,0,1,1,61.1428,-156.0624,0,61.1881,-156.05652,,,,,,,,,,,,,,,,,,,BEAR
321,2013,2013264,3.68,m,Tundra,5/25/13,5/25/13,7/12/13,0,48,1,61.18362,-156.05654,1,61.18807,-156.06886,,,,,,,,,,,,,,,,,,,
322,2013,2013265,3.93,f,Tundra,5/25/13,5/25/13,5/25/13,0,0,1,61.20394,-155.98532,1,61.20394,-155.98532,0,,,,,,,,,,,,,,,,,,ABANDONED/EUTHANIZED; CAPTURE RELATED
328,2014,2014102,1.801,f,Kemuk,5/18/14,5/18/14,5/18/14,0,0,1,59.47939,-157.83367,0,59.46585,-157.84178,,,,,,,,,,,,,,,,,,,DROWNED
329,2014,2014103,1.491,unk,Kemuk,5/18/14,5/18/14,10/15/14,0,150,1,59.47528,-157.85742,1,59.45937,-157.80437,,,,,,,,,,,,,,,,,,,
330,2014,2014104,1.94,f,Kemuk,5/18/14,5/18/14,6/26/14,0,39,1,59.47792,-157.85552,1,59.46182,-157.81073,,,,,,,,,,,,,,,,,,,
331,2014,2014105,1.251,m,Kemuk,5/18/14,5/18/14,6/26/14,0,39,1,59.47847,-157.86339,1,59.48412,-157.8821,,,,,,,,,,,,,,,,,,,
333,2014,2014107,1.91,f,Kemuk,5/18/14,5/18/14,5/26/14,0,8,1,59.45213,-157.88777,,,,,,,,,,,,,,,,,,,,,,
337,2014,2014111,1.9,m,Kemuk,5/18/14,5/18/14,5/18/14,0,0,1,59.48118,-157.69177,0,59.4849,-157.68743,,,,,,,,,,,,,,,,,,,PREDATOR
338,2014,2014112,1.57,m,Kemuk,5/18/14,5/18/14,5/18/14,0,0,1,59.47678,-157.71001,,,,,,,,,,,,,,,,,,,,,,MISSING SINCE CAPTURE
339,2014,2014113,1.88,f,Kemuk,5/18/14,5/18/14,7/1/14,0,44,1,59.44072,-157.69846,1,59.4506,-157.6825,,,,,,,,,,,,,,,,,,,
340,2014,2014114,0.68,m,Kemuk,5/18/14,5/18/14,5/20/14,0,2,1,59.43966,-157.67884,1,59.43709,-157.67582,0,59.44167,-157.669,,,,,,,,,,,,,,,,STARVED; CAPTURE RELATED?
344,2014,2014118,3.72,f,Kemuk,5/18/14,5/18/14,5/27/14,0,9,1,60.26323,-158.60017,1,60.28336,-158.59754,1,60.23429,-158.53881,,,,,,,,,,,,,,,,
352,2014,2014207,2.66,m,Mulchatna,5/16/14,5/16/14,5/27/14,0,11,1,60.77074,-154.24924,1,60.77085,-154.23648,,,,,,,1,60.72799,-154.29874,,,,,,,,,,
353,2014,2014208,2.041,m,Mulchatna,5/16/14,5/16/14,5/17/14,0,1,1,60.81868,-154.1004,0,60.81775,-154.10993,,,,,,,,,,,,,,,,,,,STARVED
356,2014,2014211,3.64,f,Mulchatna,5/16/14,5/16/14,5/25/14,0,9,1,60.74866,-153.99528,1,60.75034,-153.98677,,,,,,,1,60.74202,-153.97123,,,,,,,,,,
358,2014,2014213,3.95,f,Mulchatna,5/16/14,5/16/14,5/16/14,0,0,1,60.75543,-153.97861,1,60.75533,-153.97983,0,,,,,,,,,,,,,,,,,,EAGLE
359,2014,2014214,3.701,m,Mulchatna,5/16/14,5/16/14,5/19/15,0,368,1,60.736,-154,1,60.75113,-153.97514,,,,,,,1,60.73917,-153.97545,,,,,,,,,,
367,2014,2014222,3.4,m,Mulchatna,5/17/14,5/17/14,6/26/14,0,40,1,60.78759,-154.09973,,,,,,,1,60.88881,-154.00946,1,60.82911,-153.92474,,,,,,,,,,
368,2014,2014223,3.97,f,Mulchatna,5/17/14,5/17/14,10/29/14,0,165,1,60.79617,-154.08915,,,,,,,1,60.77475,-154.15534,1,60.78318,-154.16289,,,,,,,,,,
369,2014,2014224,3.371,f,Mulchatna,5/17/14,5/17/14,5/17/14,0,0,1,60.74024,-154.06485,1,60.73675,-154.06529,0,,,,,,,,,,,,,,,,,,EAGLE
370,2014,2014225,3.589,m,Mulchatna,5/17/14,5/17/14,12/18/14,0,215,1,60.714,-153.99101,,,,,,,1,60.72028,-154.00063,,,,,,,,,,,,,
372,2014,2014227,3.93,f,Mulchatna,5/17/14,5/17/14,5/19/15,0,367,1,60.70104,-153.96224,,,,,,,1,60.72949,-153.97042,,,,,,,,,,,,,
374,2014,2014229,3.78,f,Mulchatna,5/17/14,5/17/14,12/1/14,0,198,1,60.70341,-153.94793,,,,,,,1,60.74221,-153.97416,,,,,,,,,,,,,
375,2014,2014230,3.61,m,Mulchatna,5/17/14,5/17/14,5/17/14,0,0,1,60.70486,-153.95721,0,60.6994,-153.95099,,,,,,,,,,,,,,,,,,,WOLVERINE
377,2014,2014232,3.95,f,Mulchatna,5/19/14,5/19/14,5/28/14,0,9,1,60.74621,-154.05638,1,60.74617,-154.05633,,,,,,,,,,,,,,,,,,,
378,2014,2014233,2.6,m,Mulchatna,5/19/14,5/19/14,5/26/14,0,7,1,60.76887,-153.99579,1,60.76893,-153.9955,,,,,,,,,,,,,,,,,,,
380,2014,2014235,3.311,m,Mulchatna,5/20/14,5/20/14,5/19/15,0,364,1,60.73985,-153.98942,1,60.72676,-153.98991,,,,,,,,,,,,,,,,,,,
381,2014,2014236,2.041,m,Mulchatna,5/20/14,5/20/14,5/20/14,0,0,1,60.74742,-153.95931,1,60.7442,-153.9643,0,,,,,,,,,,,,,,,,,,EAGLE
382,2014,2014237,3.61,unk,Mulchatna,5/20/14,5/20/14,6/2/14,0,13,1,60.73475,-153.98182,1,60.73703,-154.01806,,,,,,,,,,,,,,,,,,,
383,2014,2014238,3.67,unk,Mulchatna,5/20/14,5/20/14,4/1/15,0,316,1,60.77355,-154.05555,1,60.7362,-154.11334,,,,,,,,,,,,,,,,,,,
386,2014,2014241,1.9,unk,Mulchatna,5/22/14,5/22/14,6/26/14,0,35,1,60.83997,-154.15038,1,60.83593,-154.09834,,,,,,,,,,,,,,,,,,,
391,2017,2017102,3.03,m,Tikchik,5/15/17,5/15/17,5/15/17,0,0,1,60.31864,-158.73715,1,60.31852,-158.73742,0,,,,,,,,,,,,,,,,,,PREDATOR; CAPTURE RELATED?
395,2017,2017106,2.15,f,Tikchik,5/15/17,5/15/17,10/14/17,0,152,1,60.35117,-158.74878,,,,1,60.38624,-158.76886,,,,,,,,,,,,,,,,
396,2017,2017107,0.49,f,Tikchik,5/15/17,5/15/17,6/22/17,0,38,1,60.34761,-158.76707,,,,1,60.38305,-158.77974,,,,,,,,,,,,,,,,
397,2017,2017108,0.52,f,Tikchik,5/15/17,5/15/17,4/3/18,0,323,1,60.35201,-158.77824,,,,1,60.38429,-158.75432,,,,,,,,,,,,,,,,
399,2017,2017110,2.07,m,Tikchik,5/15/17,5/15/17,5/18/17,0,3,1,60.42644,-158.85087,,,,,,,0,60.41203,-158.84645,,,,,,,,,,,,,BEAR
403,2017,2017114,2.11,f,Tikchik,5/15/17,5/15/17,5/15/17,0,0,1,60.40936,-158.82619,,,,0,60.40122,-158.81536,,,,,,,,,,,,,,,,PREDATOR
404,2017,2017115,2.16,unk,Tikchik,5/15/17,5/15/17,5/20/17,0,5,1,60.40269,-158.58359,,,,,,,,60.40002,-158.57073,,,,,,,,,,,,,
409,2017,2017120,3.04,unk,Tikchik,5/15/17,5/15/17,6/22/17,0,38,1,60.29841,-158.53953,,,,1,60.31149,-158.4733,,,,,,,,,,,,,,,,
413,2017,2017124,1.86,f,Tikchik,5/15/17,5/15/17,5/22/17,0,7,1,60.28569,-158.63745,,,,1,60.26277,-158.64538,,,,,,,,,,,,,,,,
414,2017,2017125,0.92,f,Tikchik,5/15/17,5/15/17,5/25/17,0,10,1,60.29215,-158.63499,,,,1,60.28701,-158.63454,,,,,,,,,,,,,,,,
416,2017,2017127,0.56,f,Tikchik,5/15/17,5/15/17,6/22/17,0,38,1,60.32031,-158.69593,,,,1,60.30893,-158.7738,,,,,,,,,,,,,,,,
417,2017,2017128,1.89,m,Tikchik,5/15/17,5/15/17,6/22/17,0,38,1,60.32177,-158.63143,,,,1,60.35201,-158.68594,,,,,,,,,,,,,,,,
418,2017,2017129,0.33,f,Tikchik,5/15/17,5/15/17,10/15/17,0,153,1,60.32437,-158.5624,,,,1,60.33767,-158.61257,,,,,,,,,,,,,,,,
422,2017,2017133,2.37,unk,Tikchik,5/18/17,5/18/17,10/14/17,0,149,1,60.4235,-158.8441,,,,1,60.41121,-158.82917,,,,,,,,,,,,,,,,
430,2017,2017202,2.24,f,Mulchatna,5/13/17,5/13/17,6/1/17,0,19,1,60.52163,-155.32905,,,,,,,,,,,,,,,,,,,,,,
457,2017,2017229,2.18,f,Mulchatna,5/14/17,5/14/17,5/15/18,0,366,1,60.555,-155.32464,,,,,,,,,,,,,,,,,,,,,,
469,2018,2018103,2.31,f,UMulch,5/13/18,5/13/18,5/24/18,0,11,1,60.6707,-154.9815,,,,,,,,,,,,,,,,,,,,,,
470,2018,2018104,2.16,f,UMulch,5/13/18,5/13/18,8/3/18,0,82,1,60.6661,-154.9937,,,,,,,,,,,,,,,,,,,,,,
485,2018,2018119,2.2,unk,UMulch,5/16/18,5/16/18,11/12/18,0,180,1,61.1445,-155.9395,,,,,,,,,,,,,,,,,,,,,,
497,2018,2018131,2.29,unk,UMulch,5/20/18,5/20/18,5/27/18,0,7,1,60.8151,-155.6922,1,60.81,-155.69,,,,,,,,,,,,,,,,,,,
499,2018,2018133,2.11,m,UMulch,5/20/18,5/20/18,5/25/18,0,5,1,60.9006,-155.7947,,60.90714,-155.79235,,,,,,,,,,,,,,,,,,,
506,2018,2018200,0.98,f,Tikchik,5/13/18,5/13/18,5/16/18,0,3,1,60.1106,-157.6898,,,,,,,0,60.067,-157.677,,,,,,,,,,,,,BEAR
508,2018,2018202,3.59,m,Tikchik,5/13/18,5/13/18,6/6/18,0,24,1,60.1549,-158.369,,,,,,,,,,,,,,,,,,,,,,
511,2018,2018205,3.7,m,Tikchik,5/14/18,5/14/18,5/17/18,0,3,1,60.1669,-158.27,,,,,,,0,60.191,-158.328,,,,,,,,,,,,,BEAR
512,2018,2018206,3.44,f,Tikchik,5/14/18,5/14/18,9/5/18,0,114,1,60.2172,-158.3116,,,,,,,,,,,,,,,,,,,,,,
519,2018,2018213,3.56,f,Tikchik,5/14/18,5/14/18,5/16/18,0,2,1,59.9547,-157.9276,,,,0,59.944,-157.937,,,,,,,,,,,,,,,,BEAR
521,2018,2018215,3.57,f,Tikchik,5/17/18,5/17/18,5/18/18,0,1,1,60.3789,-158.3,0,60.373,-158.305,,,,,,,,,,,,,,,,,,,STARVED
523,2018,2018217,3.87,f,Tikchik,5/17/18,5/17/18,5/20/18,0,3,1,60.4026,-158.2964,,,,,,,0,60.401,-158.294,,,,,,,,,,,,,BEAR
526,2018,2018220,3.52,m,Tikchik,5/17/18,5/17/18,11/12/18,0,179,1,60.4392,-158.4185,,,,,,,,,,,,,,,,,,,,,,
527,2018,2018221,3.82,m,Tikchik,5/17/18,5/17/18,6/11/18,0,25,1,60.4563,-158.4206,,,,,,,,,,,,,,,,,,,,,,
528,2018,2018222,3.62,m,Tikchik,5/17/18,5/17/18,10/13/18,0,149,1,60.4649,-158.4112,,,,,,,,,,,,,,,,,,,,,,
531,2018,2018225,3.55,m,Tikchik,5/19/18,5/19/18,6/11/18,0,23,1,60.4504,-158.2744,,,,,,,,,,,,,,,,,,,,,,
532,2018,2018226,3.61,m,Tikchik,5/19/18,5/19/18,5/20/18,0,1,1,60.4557,-158.3229,0,60.455,-158.325,,,,,,,,,,,,,,,,,,,STARVED; CAPTURE RELATED?
537,2018,2018231,3.64,f,Tikchik,5/19/18,5/19/18,5/24/18,0,5,1,60.4498,-158.4357,,,,,,,,,,,,,,,,,,,,,,
539,2018,2018233,2.47,f,Tikchik,5/21/18,5/21/18,10/13/18,0,145,1,60.3765,-158.6009,,,,,,,,,,,,,,,,,,,,,,
545,2018,2018239,2.36,m,Tikchik,5/21/18,5/21/18,5/26/18,0,5,1,60.3346,-158.6341,,,,,,,,,,,,,,,,,,,,,,
546,2018,2018240,3.19,f,Tikchik,5/21/18,5/21/18,6/11/18,0,21,1,60.3678,-158.5332,,,,,,,,,,,,,,,,,,,,,,
550,2019,2019100,2.58,m,Tikchik,5/12/19,5/12/19,5/12/19,0,0,1,60.15419,-158.29272,0,60.3586,-158.5372,,,,,,,,,,,,,,,,,,,BEAR
551,2019,2019101,3.92,m,Tikchik,5/12/19,5/12/19,12/4/19,0,206,1,60.15756,-158.31944,1,60.17397,-158.29523,,,,1,60.08273,-158.3126,,,,,,,,,,,,,
557,2019,2019107,3.04,m,Tikchik,5/12/19,5/12/19,5/12/19,0,0,1,60.18943,-158.33681,0,60.2972,-158.6388,,,,,,,,,,,,,,,,,,,BEAR
573,2019,2019123,0.15,m,Tikchik,5/14/19,5/14/19,5/14/19,0,0,1,60.22759,-158.31339,0,60.4433,-158.5075,,,,,,,,,,,,,,,,,,,PREDATOR
594,2019,2019144,2.4,f,Tikchik,5/18/19,5/18/19,5/19/19,0,1,1,60.25886,-158.50815,,,,,,,,,,,,,,,,,,,,,,PREDATOR (10/13)
595,2019,2019145,3.05,f,Tikchik,5/18/19,5/18/19,5/19/19,0,1,1,60.30646,-158.50584,,,,,,,,,,,,,,,,,,,,,,UNK FATE (10/11)
601,2019,2019151,2.53, unk ,Tikchik,5/20/19,5/20/19,5/20/19,0,0,1,60.24838,-158.23556,1,60.24838,-158.23556,0,,,,,,,,,,,,,,,,,,ABANDONED; CAPTURE RELATED?
612,2019,2019201,0.52,f,Mosquito/MCH,5/13/19,5/13/19,10/11/19,0,151,1,60.66347,-155.97963,,,,,,,,,,,,,,,,,,,,,,
616,2019,2019205,3.03,f,Mosquito/MCH,5/13/19,5/13/19,10/11/19,0,151,1,60.6175,-156.2798,1,60.62,-156.28,1,60.70148,-156.06513,,,,,,,,,,,,,,,,
655,2020,2020103,1.92,m,Mosquito/MCH,5/16/20,5/16/20,7/29/20,0,74,1,60.5743,-156.28846,1,60.57499,-156.29801,,,,,,,,,,,,,,,,,,,
666,2020,2020114,3.19,m,Mosquito/MCH,5/16/20,5/16/20,5/17/20,0,1,1,60.63098,-155.90115,,,,,,,,,,0,60.6292,-155.9252,,,,,,,,,,EAGLE
672,2020,2020120,3.51,f,Mosquito/MCH,5/16/20,5/16/20,5/11/21,0,360,1,60.54807,-156.0336,1,60.54126,-156.02011,,,,,,,,,,,,,,,,,,,
698,2021,2021104,3.59,m,Mosquito/MCH,5/15/21,5/15/21,6/28/21,0,44,1,60.50674,-156.16905,1,60.5075,-156.16551,1,60.46798,-156.24362,1,60.49587,-156.22293,1,60.47365,-156.21816,,,,,,,,,,
709,2021,2021115,3.43,m,Mosquito/MCH,5/17/21,5/17/21,5/17/21,0,0,1,60.77972,-155.72312,0,60.77036,-155.7058,,,,,,,,,,,,,,,,,,,BEAR
712,2021,2021118,0.79,f,Mosquito/MCH,5/17/21,5/17/21,5/18/21,0,1,1,60.75812,-155.56456,1,60.75545,-155.56382,0,60.7456,-155.5485,,,,,,,,,,,,,,,,WOLVERINE
713,2021,2021119,0.9,m,Tikchik,5/18/21,5/18/21,10/18/21,0,153,1,60.22332,-158.266,1,60.22934,-158.24094,,,,,,,,,,,,,,,,,,,
723,2021,2021129,3.47,m,Mosquito/MCH,5/19/21,5/19/21,5/21/21,0,2,1,60.9415,-155.76348,,,,1,60.93897,-155.69751,1,60.94082,-155.72577,,,,,,,,,,,,,PREDATOR (5/24)
729,2021,2021135,2.49,f,Tikchik,5/22/21,5/22/21,10/18/21,0,149,1,60.23915,-158.22627,,,,,,,,,,,,,,,,,,,,,,
731,2021,2021137,2.42,m,Tikchik,5/22/21,5/22/21,6/30/21,0,39,1,60.18768,-158.46418,,,,,,,,,,,,,,,,,,,,,,
735,2021,2021141,2.15,unk,Tikchik,5/22/21,5/22/21,5/23/21,0,1,1,60.36983,-158.74654,,,,0,60.314,-158.6865,,,,,,,,,,,,,,,,WOLF
