BY,ANNUM,Sex,SexCode,Weight,CG,CGcode,CaptLat,CaptLong,Reunite,EstAgeAtCap,DOB,DOC,LastAct,MinDaysAlive FromBirth,MinDaysAlive FromCapture,Fate,FateCode,LastLat,LastLong,COD,Comments,,
2011,2011067,m,1,7.00,Kemuk,0,59.1562,-158.1187,yes,1,05/21/11,05/22/11,07/01/11,41,40,unk,0,,,,,,
2011,2011068,unk,2,8.75,Kemuk,0,59.1467,-158.1728,yes,1,05/21/11,05/22/11,10/18/11,150,149,unk,0,,,,,,
2011,2011069,f,0,7.50,Kemuk,0,59.1642,-158.1138,yes,1,05/21/11,05/22/11,06/16/11,26,25,mort,1,,,wolf,,,
2011,2011070,f,0,7.50,Kemuk,0,59.1752,-157.9962,yes,1,05/21/11,05/22/11,12/21/11,214,213,unk,0,,,,,,
2011,2011071,f,0,8.00,Kemuk,0,59.1845,-157.9540,yes,0,05/22/11,05/22/11,08/07/11,77,77,unk,0,,,,,,
2011,2011072,m,1,7.00,Kemuk,0,59.1872,-157.9343,returning,1,05/21/11,05/22/11,04/02/12,317,316,unk,0,,,,heading that way; age not estimated at capture,,
2011,2011073,m,1,10.00,Kemuk,0,59.2035,-157.8490,yes,2,05/20/11,05/22/11,05/23/11,3,1,capture mort,2,,,starvation,capture related,,
2011,2011074,f,0,8.25,Kemuk,0,59.2035,-157.8490,returning,2,05/20/11,05/22/11,08/07/11,79,77,mort,1,59.2063,-157.8575,unk pred,heading that way,,
2011,2011075,f,0,6.50,Kemuk,0,59.4837,-157.8503,yes,1,05/21/11,05/22/11,05/28/11,7,6,mort,1,59.4903,-157.8612,bear,,,
2011,2011076,m,1,7.50,Kemuk,0,59.4920,-157.8315,yes,1,05/21/11,05/22/11,10/18/11,150,149,unk,0,59.4903,-157.8612,,,,
2011,2011077,m,1,8.75,Kemuk,0,59.5990,-157.4942,yes,1,05/21/11,05/22/11,05/26/11,5,4,mort,1,59.5857,-157.8873,wolf,,,
2011,2011078,m,1,9.00,Kemuk,0,59.5720,-157.7632,yes,1,05/21/11,05/22/11,06/16/11,26,25,unk,0,59.5857,-157.8873,,,,
2011,2011079,f,0,9.25,Kemuk,0,59.5590,-157.7613,returning,1,05/21/11,05/22/11,12/13/11,206,205,unk,0,,,,heading back to calf,,
2011,2011080,f,0,6.50,Kemuk,0,59.8785,-157.8007,yes,1,05/21/11,05/22/11,10/18/11,150,149,unk,0,,,,,,
2011,2011081,f,0,9.25,Kemuk,0,59.5237,-157.8172,yes,1,05/21/11,05/22/11,05/26/11,5,4,mort,1,59.3303,-157.9715,bear,,,
2011,2011082,f,0,8.25,Kemuk,0,59.4008,-157.9662,unk,1,05/21/11,05/22/11,08/07/11,78,77,mort,1,59.3303,-157.9715,unk pred,,,
2011,2011083,m,1,,Kemuk,0,59.4047,-157.9243,yes,1,05/21/11,05/22/11,08/07/11,78,77,unk,0,,,,,,
2011,2011084,m,1,7.50,Kemuk,0,59.2332,-158.0462,returning,2,05/20/11,05/22/11,12/13/11,207,205,unk,0,,,,heading back to calf,,
2011,2011085,f,0,10.50,Kemuk,0,59.5095,-157.7020,unk,1,05/22/11,05/23/11,12/13/11,205,204,unk,0,,,,,,
2011,2011086,m,1,9.25,Kemuk,0,59.4152,-157.7542,yes,2,05/21/11,05/23/11,08/07/11,78,76,unk,0,,,,,,
2011,2011087,m,1,7.50,Kemuk,0,59.2415,-158.0428,yes,1,05/22/11,05/23/11,01/18/12,241,240,unk,0,,,,,,
2011,2011088,m,1,7.50,Kemuk,0,59.2140,-157.9563,yes,1,05/22/11,05/23/11,07/12/11,51,50,unk,0,,,,,,
2011,2011089,f,0,7.75,Kemuk,0,59.2042,-157.9347,returning,1,05/22/11,05/23/11,05/25/11,3,2,capture mort,2,,,starvation,capture related; heading back to calf,,
2011,2011090,m,1,6.50,Kemuk,0,59.2223,-157.9437,no,1,05/22/11,05/23/11,05/24/11,2,1,capture mort,2,,,unk pred,capture related,,
2011,2011091,f,0,7.50,Kemuk,0,59.2042,-157.9347,unk,1,05/22/11,05/23/11,07/01/11,40,39,unk,0,59.2153,-157.9323,,,,
2011,2011092,m,1,8.25,Kemuk,0,59.5897,-157.7503,yes,1,05/23/11,05/24/11,10/18/11,148,147,unk,0,59.5138,-157.8370,,,,
2011,2011093,m,1,8.00,Kemuk,0,59.6145,-157.7227,unk,1,05/23/11,05/24/11,05/25/11,2,1,capture mort,2,,,wolf,capture related,,
2011,2011094,m,1,7.50,Kemuk,0,59.6728,-157.6365,returning,1,05/23/11,05/24/11,05/25/11,2,1,mort,1,59.4707,-157.7478,wolf,heading back to calf,,
2011,2011095,m,1,9.25,Kemuk,0,59.6565,-157.6803,yes,2,05/22/11,05/24/11,06/02/11,11,9,mort,1,59.2393,-158.1967,wolf,,,
2011,2011096,f,0,6.75,Kemuk,0,59.6145,-157.7227,yes,1,05/23/11,05/24/11,07/12/11,50,49,unk,0,59.6265,-157.6740,,,,
2011,2011097,m,1,6.75,Kemuk,0,59.4970,-157.7792,yes,1,05/23/11,05/24/11,06/09/11,17,16,mort,1,59.4707,-157.7478,bear,,,
2011,2011098,m,1,7.00,Kemuk,0,59.1323,-158.2157,yes,2,05/23/11,05/25/11,05/25/11,2,0,mort,1,59.2393,-158.1967,wolf,,,
2011,2011099,f,0,8.00,Kemuk,0,59.4770,-157.8997,yes,1,05/24/11,05/25/11,05/30/11,6,5,mort,1,59.2430,-158.2025,bear,,,
2011,2011100,unk,2,8.00,Kemuk,0,59.2098,-158.1297,yes,1,05/24/11,05/25/11,07/12/11,49,48,mort,1,59.2413,-158.1862,unk cause,,,
2011,2011101,m,1,,Kemuk,0,59.1423,-158.2368,yes,1,05/24/11,05/25/11,06/12/11,19,18,mort,1,59.1525,-158.2203,bear,,,
2011,2011102,f,0,6.00,Kemuk,0,59.1185,-158.2597,yes,1,05/25/11,05/26/11,07/12/11,48,47,unk,0,59.2430,-158.2025,,,,
2011,2011103,f,0,9.00,Kemuk,0,59.6460,-157.6207,unk,1,05/25/11,05/26/11,08/07/11,74,73,unk,0,,,,,,
2011,2011104,f,0,7.00,Kemuk,0,59.5742,-157.6947,unk,1,05/25/11,05/26/11,09/28/11,126,125,unk,0,,,,,,
2011,2011105,f,0,8.75,Kemuk,0,59.6430,-157.8663,yes,1,05/27/11,05/28/11,06/05/11,9,8,mort,1,59.6565,-157.9857,bear,,,
2011,2011106,f,0,,Kemuk,0,59.4405,-157.8750,yes,1,05/27/11,05/28/11,08/07/11,72,71,unk,0,,,,,,
2011,2011107,m,1,7.50,Kemuk,0,59.0990,-158.3792,yes,1,05/28/11,05/29/11,08/07/11,71,70,mort,1,,,wolf,,,
2011,2011108,m,1,9.00,Kemuk,0,59.0957,-158.3727,yes,1,05/28/11,05/29/11,04/02/12,310,309,unk,0,,,,,,
2012,2012100,f,0,7.50,Kemuk,0,59.3534,-157.8023,,1,05/18/12,05/19/12,07/07/12,50,49,unk,0,,,,,,
2012,2012101,m,1,7.25,Kemuk,0,59.3465,-157.8472,,0,05/19/12,05/19/12,07/07/12,49,49,unk,0,59.3335,-157.7673,,,,
2012,2012102,m,1,7.50,Kemuk,0,59.5386,-157.7061,,1,05/18/12,05/19/12,07/07/12,50,49,mort,1,,,,,,
2012,2012103,m,1,8.25,Kemuk,0,59.4960,-157.7016,,2,05/17/12,05/19/12,07/07/12,51,49,unk,0,,,,,,
2012,2012104,m,1,6.50,Kemuk,0,59.6605,-157.3973,,1,05/18/12,05/19/12,04/02/13,319,318,unk,0,,,,,,
2012,2012105,m,1,7.50,Kemuk,0,59.6500,-157.4181,,1,05/18/12,05/19/12,07/07/12,50,49,mort,1,,,,,,
2012,2012106,m,1,9.20,Kemuk,0,59.6237,-157.4569,,2,05/17/12,05/19/12,10/18/12,154,152,unk,0,60.4338,-161.3237,,,,
2012,2012107,f,0,7.50,Kemuk,0,59.6024,-157.4517,,1,05/18/12,05/19/12,06/29/12,42,41,unk,0,,,,,,
2012,2012108,f,0,8.20,Kemuk,0,59.5919,-157.5099,,0,05/19/12,05/19/12,05/20/12,1,1,capture mort,2,59.5849,-157.4905,starvation,capture related; no telemetry sheet for day after capture,,
2012,2012109,f,0,9.20,Kemuk,0,59.6022,-157.5120,,1,05/18/12,05/19/12,10/06/12,141,140,mort,1,,,,,,
2012,2012110,m,1,8.20,Kemuk,0,59.6098,-157.5198,,1,05/18/12,05/19/12,07/07/12,50,49,unk,0,,,,,,
2012,2012111,f,0,7.00,Kemuk,0,59.6171,-157.4995,,2,05/17/12,05/19/12,06/08/12,22,20,mort,1,,,,,,
2012,2012112,f,0,8.20,Kemuk,0,59.9720,-157.5470,,0,05/19/12,05/19/12,07/07/12,49,49,mort,1,,,,,,
2012,2012113,f,0,6.20,Kemuk,0,59.9769,-157.5884,,0,05/19/12,05/19/12,06/08/12,20,20,unk,0,,,,,,
2012,2012114,f,0,7.20,Kemuk,0,59.9583,-157.5103,,1,05/18/12,05/19/12,05/21/12,3,2,mort,1,59.9696,-157.5156,drowned,,,
2012,2012115,f,0,5.80,Kemuk,0,59.6316,-157.3269,,0,05/19/12,05/19/12,07/19/12,61,61,unk,0,59.7387,-157.7673,,,,
2012,2012116,m,1,,Kemuk,0,59.6110,-157.3258,,0,05/19/12,05/19/12,05/19/12,0,0,capture mort,2,,,unk cause,capture related; cow hesitant to reunite,,
2012,2012117,f,0,9.30,Kemuk,0,59.3783,-157.9047,,1,05/19/12,05/20/12,07/19/12,61,60,mort,1,,,,,,
2012,2012118,m,1,,Kemuk,0,59.4194,-157.8985,,1,05/19/12,05/20/12,07/07/12,49,48,unk,0,,,,,,
2012,2012119,f,0,9.00,Kemuk,0,59.4481,-157.8643,,1,05/19/12,05/20/12,07/07/12,49,48,unk,0,60.1406,-159.7567,,,,
2012,2012120,f,0,12.00,Kemuk,0,59.4436,-157.8787,,1,05/19/12,05/20/12,07/07/12,49,48,mort,1,,,,,,
2012,2012121,m,1,8.00,Kemuk,0,59.4369,-157.8513,,1,05/19/12,05/20/12,05/21/12,2,1,mort,1,59.4366,-157.8610,abandoned,vet necropsy: dehydration/shock; observed with mom day after capture,,
2012,2012122,f,0,7.80,Kemuk,0,59.4359,-157.8374,,1,05/19/12,05/20/12,10/06/12,140,139,unk,0,60.4360,-161.0312,,,,
2012,2012123,f,0,8.80,Kemuk,0,59.4115,-157.8442,,1,05/19/12,05/20/12,07/07/12,49,48,mort,1,,,,,,
2012,2012124,f,0,8.50,Kemuk,0,59.9275,-157.6409,,0,05/20/12,05/20/12,05/21/12,1,1,mort,1,59.9220,-157.6335,trauma,skull fracture; stomped or stepped on. observed in group day after capture,,
2012,2012125,f,0,8.50,Kemuk,0,59.9371,-157.6402,,1,05/19/12,05/20/12,10/12/12,146,145,unk,0,,,,,,
2012,2012126,f,0,6.50,Kemuk,0,59.9343,-157.6202,,0,05/20/12,05/20/12,05/27/12,7,7,mort,1,60.0731,-157.6145,brown bear,,,
2012,2012127,f,0,6.50,Kemuk,0,60.0952,-157.8863,,2,05/18/12,05/20/12,07/07/12,50,48,unk,0,,,,,,
2012,2012128,f,0,6.60,Kemuk,0,60.0886,-157.7182,,0,05/20/12,05/20/12,06/29/12,40,40,mort,1,,,,,,
2012,2012129,f,0,6.80,Kemuk,0,60.0095,-157.6306,,1,05/19/12,05/20/12,07/07/12,49,48,mort,1,,,,,,
2012,2012130,f,0,7.20,Kemuk,0,59.9605,-157.4435,,0,05/20/12,05/20/12,10/12/12,145,145,unk,0,,,,,,
2012,2012131,m,1,7.00,Kemuk,0,59.9026,-157.3775,,1,05/19/12,05/20/12,07/07/12,49,48,mort,1,,,,,,
2012,2012132,m,1,,Kemuk,0,59.4578,-157.7300,,1,05/20/12,05/21/12,06/08/12,19,18,unk,0,,,,,,
2012,2012133,m,1,,Kemuk,0,59.4853,-157.5956,,1,05/20/12,05/21/12,06/08/12,19,18,unk,0,,,,,,
2012,2012134,f,0,7.40,Kemuk,0,59.5776,-157.4967,,1,05/20/12,05/21/12,06/08/12,19,18,unk,0,,,,,,
2012,2012135,f,0,9.20,Kemuk,0,59.5520,-157.4626,,0,05/21/12,05/21/12,07/19/12,59,59,unk,0,,,,,,
2012,2012136,f,0,,Kemuk,0,59.5440,-157.4602,,0,05/21/12,05/21/12,10/20/12,152,152,unk,0,60.6416,-161.2957,,,,
2012,2012137,m,1,9.25,Kemuk,0,59.5679,-157.4756,,1,05/20/12,05/21/12,07/07/12,48,47,unk,0,,,,,,
2012,2012138,m,1,8.50,Kemuk,0,59.5516,-157.4547,,0,05/21/12,05/21/12,06/08/12,18,18,unk,0,,,,,,
2012,2012139,f,0,7.25,Kemuk,0,59.5884,-157.4851,,1,05/20/12,05/21/12,07/01/12,42,41,unk,0,,,,,,
2012,2012140,m,1,9.40,Kemuk,0,59.8556,-157.3777,,1,05/20/12,05/21/12,06/08/12,19,18,unk,0,,,,,,
2012,2012141,unk,2,7.20,Kemuk,0,59.8519,-157.3460,,1,05/20/12,05/21/12,07/19/12,60,59,unk,0,,,,,,
2012,2012142,m,1,7.20,Kemuk,0,59.8577,-157.3402,,0,05/21/12,05/21/12,10/12/12,144,144,unk,0,60.3057,-160.7348,,,,
2012,2012143,unk,2,,Kemuk,0,59.9372,-157.1810,,0,05/21/12,05/21/12,05/28/12,7,7,mort,1,,,,,,
2012,2012144,m,1,9.20,Kemuk,0,59.8959,-157.1234,,1,05/20/12,05/21/12,06/08/12,19,18,unk,0,,,,,,
2012,2012145,m,1,8.00,Kemuk,0,59.8932,-157.1307,,0,05/21/12,05/21/12,07/19/12,59,59,unk,0,60.4783,-160.8233,,,,
2012,2012146,unk,2,6.00,Kemuk,0,59.8924,-157.1115,,0,05/21/12,05/21/12,10/12/12,144,144,unk,0,,,,,,
2012,2012147,m,1,7.40,Kemuk,0,59.8883,-157.1771,,0,05/21/12,05/21/12,10/20/12,152,152,unk,0,,,,,,
2012,2012148,m,1,,Kemuk,0,59.1629,-158.3982,,2,05/20/12,05/22/12,06/08/12,19,17,unk,0,,,,,,
2012,2012149,f,0,9.00,Kemuk,0,59.8782,-156.9279,,2,05/21/12,05/23/12,07/07/12,47,45,unk,0,,,,,,
2012,2012150,f,0,10.75,Kemuk,0,59.8510,-156.9178,,2,05/21/12,05/23/12,06/08/12,18,16,unk,0,,,,,,
2012,2012151,f,0,9.75,Kemuk,0,59.4457,-157.8784,,2,05/22/12,05/24/12,06/29/12,38,36,unk,0,,,,,,
2012,2012200,m,1,8.50,Tundra,1,61.1871,-155.7223,unk,1,05/16/12,05/17/12,10/11/12,148,147,unk,0,59.1667,-157.1667,,,,
2012,2012201,m,1,,Tundra,1,61.2034,-155.7505,yes,1,05/16/12,05/17/12,07/06/12,51,50,unk,0,,,,,,
2012,2012202,f,0,7.75,Tundra,1,61.2122,-155.7530,yes,1,05/16/12,05/17/12,05/17/12,1,0,unk,0,59.8333,-157.0000,,left magnet on,,
2012,2012203,f,0,10.50,Tundra,1,61.2619,-155.7351,unk,1,05/16/12,05/17/12,05/21/12,5,4,mort,1,61.2619,-155.7351,black bear,mom w/in 25 yds but reluctant ro go get,,
2012,2012204,f,0,7.25,Tundra,1,61.2390,-155.8654,returning,1,05/16/12,05/17/12,07/06/12,51,50,mort,1,,,unk pred,,,
2012,2012205,f,0,9.25,Tundra,1,61.2525,-155.9020,yes,1,05/16/12,05/17/12,05/17/12,1,0,mort,1,61.2437,-155.9421,drowned,1.5 miles from capture site,,
2012,2012206,unk,2,7.50,Tundra,1,61.3578,-155.9592,searching,0,05/17/12,05/17/12,07/06/12,50,50,mort,1,,,,,,
2012,2012207,m,1,10.25,Tundra,1,61.3746,-155.9781,yes,2,05/15/12,05/17/12,10/11/12,149,147,unk,0,,,,,,
2012,2012208,f,0,8.50,Tundra,1,61.3436,-155.9550,yes,0,05/17/12,05/17/12,05/17/12,0,0,mort,1,61.3436,-155.9550,drowned,,,
2012,2012209,f,0,7.25,Tundra,1,61.2585,-155.7676,yes,0,05/17/12,05/17/12,07/06/12,50,50,unk,0,59.6323,-156.4899,,,,
2012,2012210,f,0,7.50,Tundra,1,61.1813,-155.7405,yes,0,05/17/12,05/17/12,10/05/12,141,141,mort,1,,,,,,
2012,2012211,f,0,9.00,Tundra,1,61.1993,-155.7203,yes,0,05/17/12,05/17/12,05/21/12,4,4,mort,1,61.1993,-155.7203,unk pred,,,
2012,2012212,m,1,7.50,Tundra,1,61.1996,-155.7496,yes,0,05/17/12,05/17/12,10/11/12,147,147,unk,0,60.1167,-156.2500,,,,
2012,2012213,m,1,8.00,Tundra,1,61.2109,-155.7600,unk,0,05/17/12,05/17/12,07/06/12,50,50,unk,0,60.0833,-156.4167,,likely returned,,
2012,2012214,m,1,8.50,Tundra,1,61.1604,-155.7585,unk,0,05/17/12,05/17/12,06/14/12,28,28,mort,1,60.4187,-155.0583,brown bear,,,
2012,2012215,f,0,8.50,Tundra,1,61.1637,-155.7536,returning,0,05/17/12,05/17/12,05/20/12,3,3,mort,1,61.1770,-155.7463,brown bear,,,
2012,2012216,m,1,9.00,Tundra,1,61.1220,-155.7563,yes,1,05/16/12,05/17/12,10/11/12,148,147,unk,0,60.7207,-156.2153,,,,
2012,2012217,m,1,8.50,Tundra,1,61.1398,-155.7417,returning,1,05/16/12,05/17/12,10/11/12,148,147,unk,0,,,,,,
2012,2012218,f,0,6.50,Tundra,1,61.1198,-155.7172,searching,0,05/17/12,05/17/12,07/06/12,50,50,mort,1,,,unk pred,,,
2012,2012219,m,1,8.50,Tundra,1,61.1427,-155.7111,yes,0,05/18/12,05/18/12,07/06/12,49,49,mort,1,,,unk pred,,,
2012,2012220,f,0,8.00,Tundra,1,61.2163,-155.8086,yes,1,05/17/12,05/18/12,05/19/12,2,1,mort,1,61.2163,-155.8086,brown bear,,,
2012,2012221,f,0,8.00,Tundra,1,61.1524,-155.7160,no,1,05/17/12,05/18/12,05/26/12,9,8,mort,1,61.1108,-155.6975,brown bear,,,
2012,2012222,m,1,7.50,Tundra,1,61.1622,-155.7457,yes,0,05/18/12,05/18/12,05/18/12,0,0,mort,1,61.1622,-155.7457,drowned,,,
2012,2012223,f,0,7.50,Tundra,1,61.1622,-155.7457,yes,0,05/18/12,05/18/12,07/06/12,49,49,unk,0,,,,,,
2012,2012224,m,1,8.50,Tundra,1,61.3280,-155.9204,yes,1,05/17/12,05/18/12,05/23/12,6,5,mort,1,61.2675,-155.7430,wolf,,,
2012,2012225,f,0,8.00,Tundra,1,61.4034,-155.8884,yes,0,05/18/12,05/18/12,05/18/12,0,0,mort,1,61.3973,-155.8900,eagle,,,
2012,2012226,f,0,8.25,Tundra,1,61.2669,-155.7866,yes,1,05/17/12,05/18/12,06/14/12,28,27,unk,0,60.5677,-154.4249,,,,
2012,2012227,m,1,9.00,Tundra,1,61.1982,-155.7538,yes,1,05/17/12,05/18/12,09/30/12,136,135,unk,0,60.2943,-157.6110,,,,
2012,2012228,m,1,7.00,Tundra,1,61.2027,-155.7528,yes,0,05/18/12,05/18/12,05/20/12,2,2,mort,1,61.2187,-155.7240,drowned,,,
2012,2012229,m,1,10.00,Tundra,1,61.1420,-156.0200,yes,1,05/17/12,05/18/12,10/11/12,147,146,unk,0,60.0708,-156.2252,,,,
2012,2012230,m,1,8.00,Tundra,1,61.2100,-155.9871,unk,1,05/17/12,05/18/12,05/22/12,5,4,mort,1,61.1037,-155.9440,brown bear,,,
2012,2012231,m,1,9.50,Tundra,1,61.2117,-155.7640,yes,1,05/17/12,05/18/12,10/11/12,147,146,unk,0,,,,,,
2012,2012232,m,1,8.75,Tundra,1,61.2709,-155.7696,yes,0,05/18/12,05/18/12,05/23/12,5,5,mort,1,61.2810,-155.7892,brown bear,,,
2012,2012233,f,0,8.25,Tundra,1,61.3103,-155.7781,yes,1,05/17/12,05/18/12,05/18/12,1,0,mort,1,61.3103,-155.7781,brown bear,,,
2012,2012234,unk,2,7.50,Tundra,1,61.2122,-156.0076,yes,1,05/17/12,05/18/12,10/11/12,147,146,unk,0,59.7500,-156.8333,,,,
2012,2012235,f,0,8.00,Tundra,1,61.2019,-156.0095,unk,0,05/18/12,05/18/12,05/18/12,0,0,mort,1,61.2019,-156.0095,brown bear,,,
2012,2012236,m,1,,Tundra,1,61.1636,-155.9317,no,1,05/17/12,05/18/12,06/14/12,28,27,unk,0,,,,,,
